"Reference","Value","Footprint","Datasheet","Qty","DNP"
"J4,J5,J6,J7,J14,J15","Conn_02x06_Top_Bottom","Miscellaneous THD:PinSocket_2x06_P2.54mm_Horizontal_PMOD,Miscellaneous THD:PinSocket_2x06_P2.54mm_Vertical_PMOD","~","6",""
"J8,J9","2180739-1","TE_2180739-1","","2",""
"J10","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~","1",""
"L1","IND_2.2UH_20%_BOURNS_SRP3212","Inductors SMD:IND_BOURNS_SRP3212","\\cern.ch\dfs\Applications\Altium\Datasheets\IND_BOURNS_SRP3212.pdf","1",""
"L2,L3,L4,L5,L6,L7,L8,L9","4.7 uH","Inductor_SMD:L_1008_2520Metric","~","8",""
"L10,L12,L13","IND0402_MURATA_BLM15PX121SN1D","Inductors SMD:INDC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\IND0402_MURATA_BLM15PX.pdf","3",""
"L11","IND0603_MURATA_BLM18AG601SN1","Inductors SMD:INDC1608X95N","\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18A.pdf","1",""
"L14","IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C","Inductors SMD:IND_WURTH_WE-PMCI_0806LR","\\cern.ch\dfs\Applications\Altium\Datasheets\IND_WURTH_WE-PMCI_74479276222C.pdf","1",""
"L15","IND0805_TDK_MLZ2012M150WT000","Inductors SMD:INDC2013X145N","\\cern.ch\dfs\Applications\Altium\Datasheets\IND0805_TDK_MLZ2012.pdf","1",""
"L16","IND0402_MURATA_BLM15HB221SN1","Inductors SMD:INDC1005X55N","\\cern.ch\dfs\Applications\Altium\Datasheets\IND0402_MURATA_BLM15H.pdf","1",""
"L17,L18,L20","IND0603_MURATA_BLM18SG121TN1D","INDC1608X65N","\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18S.pdf","3",""
"LD1","LED_OSRAM_LS_Q976-NR-1","ICs And Semiconductors SMD:LED_OSRAM_LS Q976","\\cern.ch\dfs\Applications\Altium\Datasheets\LED_OSRAM_LS Q976-NR-1.pdf","1",""
