Designator,Mid X,Mid Y,Rotation,Layer
C241,111.464285,-111.358,270.0,bottom
C242,110.564285,-111.358,270.0,bottom
C243,108.964285,-106.158,0.0,bottom
C244,110.564285,-109.758,270.0,bottom
C245,103.664285,-110.558,90.0,bottom
C246,103.664285,-112.258,90.0,bottom
C247,53.164285,-87.258,90.0,top
C248,84.539285,-63.733,270.0,top
C249,107.864285,-108.958,270.0,bottom
C25,54.164285,-84.858,0.0,top
C250,102.364285,-105.458,270.0,bottom
C26,59.964285,-84.858,180.0,top
C27,60.864285,-82.258,90.0,top
C28,53.164285,-82.158,90.0,top
C29,62.464285,-81.658,90.0,top
C30,51.664285,-81.408,90.0,top
C31,75.514285,-83.198,180.0,bottom
C32,77.084285,-79.228,270.0,bottom
C33,97.754285,-45.478,0.0,top
C34,89.344285,-117.128,180.0,top
C35,55.854285,-98.888,90.0,bottom
C36,99.094285,-97.148,180.0,top
C37,75.634285,-108.838,0.0,top
C5,62.264285,-94.658,0.0,bottom
C6,62.264285,-93.558,180.0,top
C61,108.064285,-103.958,270.0,bottom
C62,97.564285,-108.758,0.0,bottom
C63,97.564285,-110.358,0.0,bottom
C64,112.064285,-115.158,90.0,top
C65,104.064285,-117.558,270.0,top
C66,107.164285,-118.258,270.0,bottom
C67,105.164285,-118.258,270.0,bottom
C68,102.164285,-118.258,270.0,bottom
C69,110.164285,-118.258,270.0,bottom
C7,54.264285,-98.958,90.0,top
C70,25.014285,-99.408,90.0,bottom
C71,33.764285,-104.358,90.0,bottom
C72,36.614285,-98.458,180.0,bottom
C73,44.364285,-99.458,90.0,top
C74,43.864285,-111.758,180.0,top
C75,38.264285,-111.758,180.0,top
C76,40.364285,-99.458,270.0,top
C77,46.564285,-105.158,180.0,top
C78,35.364285,-99.658,270.0,top
C79,46.564285,-107.658,180.0,top
C8,62.264285,-93.558,0.0,bottom
C80,33.564285,-108.158,0.0,top
C81,24.864285,-98.858,0.0,top
C82,33.964285,-99.158,270.0,top
C83,31.964285,-101.258,0.0,top
C84,43.364285,-99.458,90.0,top
C85,32.864285,-103.158,270.0,top
C86,33.864285,-103.158,270.0,top
C87,32.964285,-106.758,90.0,top
C88,33.964285,-106.758,90.0,top
C89,97.964285,-79.958,270.0,bottom
C9,55.264285,-98.958,90.0,top
C90,99.164285,-81.158,180.0,bottom
C91,102.464285,-83.408,180.0,bottom
C92,100.764285,-81.158,180.0,bottom
C93,95.164285,-85.158,180.0,bottom
C94,96.764285,-83.558,180.0,bottom
C95,102.364285,-81.158,180.0,bottom
C96,101.564285,-85.158,0.0,bottom
C97,101.714285,-80.258,180.0,bottom
C98,96.364285,-81.558,270.0,bottom
C99,100.364285,-79.958,270.0,bottom
D1,26.464285,-104.758,0.0,top
D2,118.364285,-124.658,270.0,top
D3,49.814285,-114.258,0.0,top
J1,57.664285,-71.383,270.0,top
J12,57.664285,-57.128,270.0,top
J14,48.789285,-124.038,0.0,top
J15,66.649285,-124.038,0.0,top
J16,130.964285,-118.958,90.0,top
J2,20.004285,-104.658,270.0,top
J3,34.601785,-89.258,90.0,top
J4,35.514285,-39.858,180.0,top
J6,129.409285,-74.313,90.0,top
J7,129.409285,-51.453,90.0,top
J8,45.189285,-64.258,270.0,top
L1,62.364285,-90.758,90.0,top
L10,31.864285,-103.158,270.0,top
L11,105.564285,-94.058,90.0,bottom
L12,24.864285,-99.958,0.0,top
L13,31.964285,-106.758,90.0,top
L14,31.764285,-99.058,0.0,top
L15,99.381785,-96.458,180.0,bottom
L16,97.364285,-82.758,180.0,bottom
L17,72.264285,-116.958,0.0,top
L18,75.464285,-116.958,0.0,top
L2,56.564285,-45.958,270.0,top
L20,75.864285,-114.158,0.0,top
L3,59.364285,-45.958,270.0,top
L4,58.464285,-82.358,90.0,top
L5,55.564285,-82.358,90.0,top
LD1,50.564285,-119.658,180.0,top
LD2,57.364285,-110.558,90.0,top
LD3,109.864285,-45.358,90.0,top
LD4,114.514285,-45.243,90.0,top
LD5,104.764285,-45.308,90.0,top
N1,15.264285,-135.058,90.0,top
Q1,111.014285,-49.308,270.0,top
Q2,114.664285,-49.308,270.0,top
Q3,107.514285,-49.308,270.0,top
Q4,121.564285,-124.633,270.0,top
R1,92.964285,-101.758,0.0,bottom
R10,65.064285,-97.058,0.0,bottom
R100,94.514285,-120.058,180.0,bottom
R101,94.514285,-119.058,180.0,bottom
R102,84.694285,-104.343,270.0,top
R103,89.594285,-104.343,270.0,top
R104,77.414285,-106.858,180.0,top
R105,67.664285,-112.058,90.0,top
R11,65.064285,-96.058,0.0,bottom
R110,72.664285,-114.158,90.0,top
R113,83.264285,-72.758,270.0,top
R114,88.164285,-89.158,270.0,bottom
R115,92.464285,-115.358,180.0,top
R116,82.264285,-72.758,270.0,top
R117,84.914285,-69.408,0.0,top
R118,66.164285,-108.758,180.0,top
R119,66.164285,-111.758,180.0,top
R12,58.564285,-90.158,90.0,top
R120,81.264285,-74.658,90.0,top
R121,84.264285,-74.658,90.0,top
R122,97.164285,-47.358,180.0,top
R123,76.964285,-65.958,0.0,top
R124,76.964285,-66.958,0.0,top
R125,75.064285,-66.958,0.0,top
R126,75.064285,-65.958,180.0,top
R127,75.064285,-64.458,0.0,top
R128,75.064285,-63.458,180.0,top
R129,76.964285,-63.458,0.0,top
R13,65.064285,-98.058,0.0,bottom
R130,76.964285,-64.458,0.0,top
R131,75.064285,-61.558,0.0,top
R132,75.064285,-60.558,180.0,top
R133,76.964285,-60.558,0.0,top
R134,76.964285,-61.558,0.0,top
R135,75.064285,-58.658,0.0,top
R136,75.064285,-57.658,180.0,top
R137,76.964285,-57.658,0.0,top
R138,76.964285,-58.658,0.0,top
R139,94.264285,-64.958,270.0,top
R14,49.164285,-96.058,0.0,top
R140,95.364285,-64.958,270.0,top
R141,92.464285,-64.958,90.0,top
R142,94.514285,-104.223,270.0,bottom
R143,59.764285,-107.508,270.0,bottom
R144,60.564285,-119.358,270.0,bottom
R145,91.764285,-122.708,0.0,bottom
R146,44.864285,-119.658,270.0,bottom
R147,48.164285,-119.633,0.0,top
R148,54.264285,-108.083,180.0,top
R149,102.164285,-122.058,270.0,top
R15,65.064285,-99.058,180.0,bottom
R150,111.064285,-124.758,270.0,top
R151,111.464285,-122.358,180.0,top
R152,119.364285,-127.658,90.0,top
R153,108.764285,-115.158,270.0,bottom
R154,49.464285,-108.158,0.0,top
R155,108.464285,-44.958,270.0,top
R156,109.564285,-51.943,0.0,top
R157,113.114285,-45.243,270.0,top
R158,114.514285,-51.943,180.0,top
R159,75.264285,-107.358,90.0,top
R16,65.064285,-95.058,0.0,bottom
R160,61.564285,-85.958,180.0,top
R161,103.614285,-44.958,270.0,top
R162,85.539285,-63.733,270.0,top
R163,85.539285,-65.633,90.0,top
R164,88.464285,-50.258,270.0,bottom
R165,89.464285,-50.258,270.0,bottom
R166,90.464285,-50.258,270.0,bottom
R167,105.064285,-115.158,270.0,top
R168,107.414285,-106.658,90.0,bottom
R169,93.564285,-117.958,180.0,bottom
R17,65.064285,-94.058,0.0,bottom
R176,89.364285,-116.058,180.0,top
R177,95.864285,-106.258,180.0,top
R178,64.414285,-106.208,90.0,bottom
R179,59.164285,-118.908,180.0,bottom
R18,49.664285,-85.558,0.0,top
R180,91.764285,-123.708,180.0,bottom
R181,43.864285,-119.658,90.0,bottom
R182,57.494285,-99.858,0.0,top
R19,49.664285,-84.458,180.0,top
R2,95.514285,-104.223,90.0,bottom
R20,49.164285,-95.058,180.0,top
R21,86.526785,-46.458,180.0,top
R22,86.526785,-47.458,0.0,top
R23,97.164285,-48.433,180.0,top
R24,97.164285,-49.458,180.0,top
R25,86.526785,-48.458,180.0,top
R26,86.526785,-49.458,180.0,top
R27,86.526785,-50.458,180.0,top
R28,90.426785,-52.458,270.0,top
R29,91.426785,-52.458,90.0,top
R3,55.264285,-90.158,90.0,top
R30,97.164285,-50.458,180.0,top
R31,100.014285,-52.333,270.0,top
R32,94.226785,-50.958,0.0,top
R33,94.226785,-49.958,0.0,top
R34,94.226785,-48.958,0.0,top
R35,78.244285,-80.758,270.0,bottom
R36,79.534285,-80.768,90.0,bottom
R37,104.064285,-52.098,180.0,top
R38,50.204285,-43.448,0.0,top
R39,99.534285,-59.308,270.0,top
R4,65.064285,-96.058,180.0,top
R49,106.064285,-115.158,270.0,top
R5,65.064285,-97.058,180.0,top
R50,105.764285,-115.158,270.0,bottom
R51,100.064285,-110.358,0.0,bottom
R52,110.764285,-115.158,270.0,bottom
R53,100.064285,-111.358,0.0,bottom
R54,109.764285,-115.158,270.0,bottom
R55,100.064285,-107.358,0.0,bottom
R56,100.064285,-106.758,180.0,top
R57,110.064285,-115.158,270.0,top
R58,106.764285,-115.158,270.0,bottom
R59,104.064285,-115.158,270.0,top
R6,65.064285,-98.058,180.0,top
R60,108.064285,-115.158,270.0,top
R61,111.064285,-115.158,270.0,top
R62,104.764285,-115.158,270.0,bottom
R63,109.064285,-115.158,270.0,top
R64,103.064285,-115.158,270.0,top
R65,100.064285,-108.758,180.0,top
R66,107.064285,-115.158,270.0,top
R67,107.739285,-115.158,270.0,bottom
R68,103.764285,-115.158,270.0,bottom
R69,100.064285,-108.358,0.0,bottom
R7,65.064285,-99.058,180.0,top
R70,100.064285,-109.358,0.0,bottom
R71,100.064285,-106.358,0.0,bottom
R72,111.364285,-106.558,90.0,bottom
R73,101.164285,-97.158,180.0,top
R74,33.664285,-102.058,90.0,bottom
R75,31.964285,-104.058,180.0,bottom
R76,36.424285,-99.408,90.0,top
R77,37.524285,-99.408,90.0,top
R78,33.564285,-104.658,0.0,top
R79,33.564285,-109.158,180.0,top
R8,65.064285,-94.058,180.0,top
R80,25.494285,-107.458,0.0,top
R81,27.394285,-102.058,0.0,top
R82,25.464285,-108.558,0.0,top
R83,25.364285,-102.058,180.0,top
R84,97.864285,-64.958,90.0,top
R85,111.764285,-83.658,0.0,top
R86,94.464285,-72.108,90.0,bottom
R87,111.764285,-82.658,0.0,top
R88,111.764285,-81.658,0.0,top
R89,111.769285,-80.658,180.0,top
R9,65.064285,-95.058,180.0,top
R90,95.664285,-72.058,270.0,bottom
R91,41.464285,-116.558,270.0,bottom
R92,43.064285,-116.958,90.0,bottom
R93,59.664285,-116.9955,90.0,bottom
R94,63.014285,-117.008,0.0,bottom
R95,62.864285,-105.5205,90.0,bottom
R96,61.764285,-107.5205,90.0,bottom
R97,60.764285,-107.5205,90.0,bottom
R99,81.694285,-110.543,270.0,top
SW1,45.139285,-45.458,0.0,top
SW2,83.8,-56.1,0.0,top
U1,98.764285,-82.758,90.0,top
U10,60.564285,-115.7455,180.0,top
U11,95.276785,-122.658,90.0,top
U12,71.564285,-101.773,270.0,top
U13,85.064285,-112.958,0.0,top
U14,82.319285,-103.143,0.0,top
U15,87.194285,-103.143,0.0,top
U16,71.364285,-109.758,0.0,top
U17,90.426785,-48.658,0.0,top
