Designator,Footprint,Quantity,Value,LCSC Part #
"R153, R159, R167, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71",RESC1005X40N,26,R0402_40R2_1%_0.0625W_100PPM,C25111
"R154, R164, R165, R166",RESC1005X40N,4,R0402_100K_1%_0.0625W_100PPM,C60491
R168,RESC1005X40N,1,R0402_80R6_1%_0.1W_100PPM,C2077034
"R19, R20",RESC1005X40N,2,R0402_330R_1%_0.0625W_100PPM,C25104
R3,RESC1005X40N,1,R0402_2K49_1%_0.063W_100PPM,C482132
R36,RESC1005X40N,1,R0402_40.2K_1%_0.0625W_100PPM,C137983
"R4, R5, R6, R7, R8, R9",RESC1005X40N,6,R0402_22R_1%_0.0625W_100PPM,C25092
"R74, R83",RESC1005X40N,2,R0402_2K2_1%_0.0625W_100PPM,C2906865
"R80, R82",RESC1005X40N,2,R0402_5K1_1%_0.0625W_100PPM,C25905
"R91, R94",RESC1608X55N,2,R0603_135K_0.1%_0.1W_25PPM_KOA_RN73R2ATTD1353B25,C861113
"SW1, SW2",SW_OMRON_A6SN-1101,2,SW_DIP_x01,C7421519
"TP1, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32",TestPoint_THTPad_D1.5mm_Drill0.7mm,11,TestPoint,
"TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP33, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,14,TestPoint,
"TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22",TestPoint_Pad_D2.0mm,8,TestPoint,
U1,Xilinx_CSG325,1,XC7A35T-CSG325,C1521749
"U10, U11, U4, U5, U6",VREG_TPSM863257RDXR,5,TPSM863257RDXR,C19190416
U12,SOT95P284X122-5N,1,LP5951MF-3.0/NOPB,C2868982
U13,SOIC127P600X175-8N,1,LM336M-2.5,C507207
"U14, U15",SOP65P490X110-8N,2,DAC8551IADGKR,C524800
