"R124,R130,R134,R138","R0402_845R_0.1%_0.063W_25PPM","",""
"R125,R127,R131,R135","R0402_2K32_1%_0.0625W_100PPM","",""
"R154,R164,R165,R166,R170,R171,R172,R173,R174,R175","R0402_100K_1%_0.0625W_100PPM","",""
"R168","R0402_80R6_1%_0.1W_100PPM","",""
"SW1,SW2","SW_DIP_x01","","C7421519"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14","TestPoint","",""
"U1","XC7A35T-CSG325","","C1521749"
"U2","MT41K512M16HA-125_E / MT41K512M16VRP-107 IT:P","","C2831669"
"U3","Si5351A-B-GT","","C504891"
"U4,U5,U6,U10,U11","TPSM863257RDXR","","C19190416"
"U7","RTL8211F-CG","","C187932"
"U8","TLV62565DBV","","C87122"
"U9","REF3012","","C34674"
"U12","LP5951MF-3.0/NOPB","","C2868982"
"U13","LM336M-2.5","","C507207"
"U14,U15","DAC8550IDGK","","C524800"
"U16","CDCM61004RHB","","C524817"
"U17,U19","TCA9535RTWR","","C140277"
"U18","TLV77325PDBVR","","C34443490"
"U20","RT9045AGSP / AP2303","","C3249960"
"U21","FT2232HQ","","C193662"
"U22","93C46B-I_SN","","C1348804"
"U23","NCV59801CML120TCG","",""
"U24,U25","SN74LVC1G07DBV","","C7829"
"U26","PCA9546ARGV","","C2649403"
"U27","S25FL128SAGMFI001","","C111478"
"U28","24AA256UID-I_ST","","C619605"
"Y1","OSC_25MHZ_RAKON_IVT3205CR","","C52954962"
"Y2","VM53S3-25.000-2.5/-30+75","DNP",""
"Y3","OSC_20MHZ_IQD_LFVCXO026156","","C21547610"
"Y4","XTAL_25MHZ_EPSON_TSX-3225_25.0000MF10Z-AC","DNP",""
"Y5","XTAL_12MHZ_TXC_7A-12.000MAAJ-T","","C112573"
"Y6","XTAL_25MHZ_TXC_8Y-25.000MAAJ-T","","C648942"
